Applications,Whole Lifecycle Defense Result,,,,,,Serving Phase Defense Result
,Chesnut,Chesnut,Temp,Temp,DynBox,DynBox,Chesnut,Chesnut,Temp,Temp,DynBox,DynBox
,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count
nginx,53.48,104.0,60.28,102.76,78.62,76.52,53.48,104.0,72.36,97.0,82.87,70.0
httpd,64.02,99.0,78.84,84.29,83.2,64.57,64.02,99.0,84.94,79.0,88.59,60.2
redis,67.67,86.0,75.72,82.0,83.59,63.92,67.67,86.0,75.72,82.0,83.59,63.92
sqlite,89.98,74.0,89.98,74.0,91.1,71.29,89.98,74.0,89.98,74.0,91.1,71.29
memcached,75.03,89.0,76.07,85.45,85.32,58.0,75.03,89.0,76.42,84.0,86.15,54.8
bind,77.58,97.0,77.69,85.0,81.56,65.0,77.58,97.0,77.69,85.0,81.56,65.0
tar,76.07,108.0,77.58,97.0,80.61,93.24,76.07,108.0,77.58,97.0,80.61,93.24
Average,71.98,93.86,76.59,87.21,83.43,70.36,71.98,93.86,79.24,85.43,84.92,68.35
